   Selected parameters are:
1 Height, km
2 O, cm-3 
3 N2, cm-3
4 O2, cm-3
5 Temperature_neutral, K
6 Temperature_exospheric, K

      1          2          3          4      5     6
  250.0  1.307E+09  7.710E+08  5.344E+07 1000.1  1031
  251.0  1.282E+09  7.472E+08  5.157E+07 1000.8  1031
  252.0  1.259E+09  7.243E+08  4.977E+07 1001.4  1031
  253.0  1.235E+09  7.020E+08  4.803E+07 1002.1  1031
  254.0  1.212E+09  6.805E+08  4.635E+07 1002.7  1031
  255.0  1.190E+09  6.596E+08  4.473E+07 1003.3  1031
  256.0  1.168E+09  6.394E+08  4.318E+07 1004.0  1031
  257.0  1.147E+09  6.199E+08  4.168E+07 1004.6  1031
  258.0  1.126E+09  6.010E+08  4.023E+07 1005.1  1031
  259.0  1.105E+09  5.826E+08  3.883E+07 1005.7  1031
  260.0  1.085E+09  5.649E+08  3.749E+07 1006.3  1031
  261.0  1.065E+09  5.477E+08  3.619E+07 1006.8  1031
  262.0  1.046E+09  5.311E+08  3.494E+07 1007.3  1031
  263.0  1.027E+09  5.150E+08  3.373E+07 1007.8  1031
  264.0  1.008E+09  4.994E+08  3.257E+07 1008.4  1031
  265.0  9.899E+08  4.842E+08  3.145E+07 1008.8  1031
  266.0  9.720E+08  4.696E+08  3.037E+07 1009.3  1031
  267.0  9.545E+08  4.554E+08  2.932E+07 1009.8  1031
  268.0  9.373E+08  4.417E+08  2.831E+07 1010.3  1031
  269.0  9.205E+08  4.284E+08  2.734E+07 1010.7  1031
  270.0  9.040E+08  4.155E+08  2.641E+07 1011.2  1031
  271.0  8.878E+08  4.030E+08  2.550E+07 1011.6  1031
  272.0  8.719E+08  3.909E+08  2.463E+07 1012.0  1031
  273.0  8.564E+08  3.791E+08  2.379E+07 1012.4  1031
  274.0  8.411E+08  3.678E+08  2.298E+07 1012.8  1031
  275.0  8.261E+08  3.568E+08  2.219E+07 1013.2  1031
  276.0  8.115E+08  3.461E+08  2.144E+07 1013.6  1031
  277.0  7.971E+08  3.357E+08  2.071E+07 1014.0  1031
  278.0  7.829E+08  3.257E+08  2.000E+07 1014.4  1031
  279.0  7.691E+08  3.160E+08  1.932E+07 1014.7  1031
  280.0  7.555E+08  3.066E+08  1.867E+07 1015.1  1031
  281.0  7.422E+08  2.974E+08  1.803E+07 1015.4  1031
  282.0  7.291E+08  2.886E+08  1.742E+07 1015.7  1031
  283.0  7.163E+08  2.800E+08  1.683E+07 1016.1  1031
  284.0  7.037E+08  2.717E+08  1.626E+07 1016.4  1031
  285.0  6.914E+08  2.636E+08  1.571E+07 1016.7  1031
  286.0  6.793E+08  2.558E+08  1.518E+07 1017.0  1031
  287.0  6.674E+08  2.482E+08  1.467E+07 1017.3  1031
  288.0  6.557E+08  2.409E+08  1.417E+07 1017.6  1031
  289.0  6.443E+08  2.337E+08  1.370E+07 1017.9  1031
  290.0  6.330E+08  2.268E+08  1.324E+07 1018.2  1031
  291.0  6.220E+08  2.201E+08  1.279E+07 1018.5  1031
  292.0  6.112E+08  2.136E+08  1.236E+07 1018.7  1031
  293.0  6.006E+08  2.073E+08  1.194E+07 1019.0  1031
  294.0  5.902E+08  2.012E+08  1.154E+07 1019.2  1031
  295.0  5.800E+08  1.953E+08  1.116E+07 1019.5  1031
  296.0  5.699E+08  1.895E+08  1.078E+07 1019.7  1031
  297.0  5.601E+08  1.840E+08  1.042E+07 1020.0  1031
  298.0  5.504E+08  1.785E+08  1.007E+07 1020.2  1031
  299.0  5.409E+08  1.733E+08  9.734E+06 1020.4  1031
  300.0  5.315E+08  1.682E+08  9.408E+06 1020.7  1031
  301.0  5.223E+08  1.633E+08  9.094E+06 1020.9  1031
  302.0  5.133E+08  1.585E+08  8.790E+06 1021.1  1031
  303.0  5.045E+08  1.538E+08  8.496E+06 1021.3  1031
  304.0  4.959E+08  1.493E+08  8.213E+06 1021.5  1031
  305.0  4.874E+08  1.450E+08  7.939E+06 1021.7  1031
  306.0  4.790E+08  1.407E+08  7.675E+06 1021.9  1031
  307.0  4.708E+08  1.366E+08  7.419E+06 1022.1  1031
  308.0  4.628E+08  1.326E+08  7.172E+06 1022.3  1031
  309.0  4.549E+08  1.288E+08  6.933E+06 1022.5  1031
  310.0  4.471E+08  1.250E+08  6.703E+06 1022.6  1031
  311.0  4.395E+08  1.214E+08  6.480E+06 1022.8  1031
  312.0  4.320E+08  1.178E+08  6.265E+06 1023.0  1031
  313.0  4.247E+08  1.144E+08  6.057E+06 1023.2  1031
  314.0  4.174E+08  1.111E+08  5.856E+06 1023.3  1031
