   Selected parameters are:
1 Height, km
2 Electron_density_Ne, m-3
3 Tn, K
4 Ti, K
5 Te, K

       1            2      3      4      5
  328.00  0.17548E+12 1143.7 1266.4 1432.3
  329.00  0.17636E+12 1143.8 1268.2 1435.7
  330.00  0.17714E+12 1144.0 1270.0 1439.0
  331.00  0.17781E+12 1144.1 1271.9 1442.4
  332.00  0.17834E+12 1144.2 1273.7 1445.8
  333.00  0.17870E+12 1144.4 1275.6 1449.1
  334.00  0.17877E+12 1144.5 1277.4 1452.5
  335.00  0.17875E+12 1144.7 1279.2 1455.8
  336.00  0.17871E+12 1144.8 1281.1 1459.2
  337.00  0.17866E+12 1144.9 1282.9 1462.5
  338.00  0.17858E+12 1145.0 1284.8 1465.7
  339.00  0.17849E+12 1145.2 1286.6 1469.0
  340.00  0.17838E+12 1145.3 1288.4 1472.2
  341.00  0.17825E+12 1145.4 1290.3 1475.5
  342.00  0.17810E+12 1145.5 1292.1 1478.6
  343.00  0.17794E+12 1145.6 1294.0 1481.7
  344.00  0.17776E+12 1145.7 1295.8 1484.8
  345.00  0.17757E+12 1145.8 1297.6 1487.8
  346.00  0.17735E+12 1145.9 1299.5 1490.8
  347.00  0.17713E+12 1146.0 1301.3 1493.7
  348.00  0.17688E+12 1146.1 1303.1 1496.5
  349.00  0.17662E+12 1146.2 1305.0 1499.3
  350.00  0.17635E+12 1146.3 1306.8 1502.0
  351.00  0.17606E+12 1146.4 1308.7 1504.6
  352.00  0.17575E+12 1146.5 1310.5 1507.1
  353.00  0.17544E+12 1146.6 1312.3 1509.5
  354.00  0.17510E+12 1146.7 1314.2 1511.9
  355.00  0.17476E+12 1146.8 1316.0 1514.3
  356.00  0.17440E+12 1146.9 1317.9 1516.5
  357.00  0.17402E+12 1146.9 1319.7 1518.7
  358.00  0.17364E+12 1147.0 1321.5 1520.9
  359.00  0.17324E+12 1147.1 1323.4 1523.0
  360.00  0.17283E+12 1147.2 1325.2 1525.1
  361.00  0.17240E+12 1147.3 1327.1 1527.1
  362.00  0.17197E+12 1147.3 1328.9 1529.1
  363.00  0.17152E+12 1147.4 1330.7 1531.1
  364.00  0.17106E+12 1147.5 1332.6 1533.1
  365.00  0.17059E+12 1147.5 1334.4 1535.1
  366.00  0.17011E+12 1147.6 1336.2 1537.0
  367.00  0.16962E+12 1147.7 1338.1 1538.9
  368.00  0.16912E+12 1147.7 1339.9 1540.9
  369.00  0.16860E+12 1147.8 1341.8 1542.8
  370.00  0.16808E+12 1147.9 1343.6 1544.7
  371.00  0.16755E+12 1147.9 1345.4 1546.6
  372.00  0.16701E+12 1148.0 1347.3 1548.5
  373.00  0.16646E+12 1148.0 1349.1 1550.4
  374.00  0.16590E+12 1148.1 1350.9 1552.3
  375.00  0.16534E+12 1148.1 1352.8 1554.2
  376.00  0.16476E+12 1148.2 1354.6 1556.1
  377.00  0.16418E+12 1148.3 1356.4 1557.9
  378.00  0.16359E+12 1148.3 1358.3 1559.8
  379.00  0.16299E+12 1148.4 1360.1 1561.7
  380.00  0.16239E+12 1148.4 1361.9 1563.6
  381.00  0.16177E+12 1148.5 1363.7 1565.5
  382.00  0.16115E+12 1148.5 1365.6 1567.4
  383.00  0.16053E+12 1148.6 1367.4 1569.2
  384.00  0.15990E+12 1148.6 1369.2 1571.1
  385.00  0.15926E+12 1148.6 1371.0 1573.0
  386.00  0.15862E+12 1148.7 1372.9 1574.9
  387.00  0.15797E+12 1148.7 1374.7 1576.8
  388.00  0.15731E+12 1148.8 1376.5 1578.6
  389.00  0.15665E+12 1148.8 1378.3 1580.5
  390.00  0.15599E+12 1148.8 1380.1 1582.4
  391.00  0.15532E+12 1148.9 1381.9 1584.3
  392.00  0.15465E+12 1148.9 1383.7 1586.2
  393.00  0.15397E+12 1149.0 1385.5 1588.0
